0	vacinas não são seguras
0	reações às vacinas são prejudiciais se comparadas aos efeitos da doença em uma criança não imunizada
0	vacinas servem para implantar clips na população pobre
0	não há provas de que as vacinas não provocam autismo
0	vacinas causam autismo
0	um estudo inglês mostrou uma ligação entre vacinas e autismo.
0	existem provas que vacinas causam autismos
0	existem muitos exemplos de crianças que desenvolvem autismo depois da vacinação
0	não é da conta de ninguém se meu filho não é vacinado
0	vacinas podem sobrecarregar o sistema imunológico das crianças
0	a imunidade natural é melhor que a que vem com a vacinação
0	se não vacinar meu filho o problema é meu
0	não quero me vacinar, o problema é meu
0	um médico britânico mostrou que vacinas causam autismo
0	a vacina contra o HPV incentiva a promiscuidade
0	a vacina do HPV só tem eficácia de 5 anos
0	a vacina do HPV faz mal
0	vacina contra o HPV da a incentiva o sexo sem preservativo
0	HPV não faz mal
0	a vacina do HPV não é eficaz
0	o sarampo não é uma doença mortal
0	catapora não é grande coisa
0	catapora não é grande coisa
0	coqueluche não é tão ruim para as crianças
0	vacinas não são muito eficazes para evitar as doenças
0	infecção natural é melhor que a vacinação
0	as vacinas não foram rigorosamente testadas
0	vacinas geram autismo
0	thimerosal contido nas vacinas causa autismo
0	mercúrio nas vacinas causa autismo
0	alumínio contido nas vacinas é prejudicial para as crianças.
0	remédios naturais e alternativos são melhores que os científicos
0	remédios naturais e alternativos são melhores
0	conservantes nas vacinas não faz bem
0	não entendo com as vacinas funcionam
0	a vacina do HPV oferece riscos
0	vacina do HPV é um incentivo para a vida sexual precoce
0	não existem doenças erradicadas pela vacinas
0	o que combate as doenças é o sistema imunológico e não as vacinas
1	vacinas causam autismo, um médico britânico mostrou
1	vacinas provocam autismo
1	o autismo é causado por vacinas
1	vacina do HPV causa malefício
1	remédios naturais e alternativos são melhores que as vacinas
1	vacina contra o HPV a estimula o sexo sem camisinha
1	existem muitas crianças que desenvolvem autismo após a vacinação
1	não existem provas de que vacinas não desperta o autismo
1	vacina do HPV tem eficácia de 5 anos
1	o sarampo não mata
1	HPV não faz bem
1	implantar clips na população pobre sevem as vacinas
1	não existem provas de que as vacinas não causem autismo
1	Vacinas causam autismos, existem provas
1	tem muitos exemplos de crianças que manifestaram autismo depois da vacinação
1	imunidade natural é vantajoso a que vem com a vacinação
1	o problema é meu se não vacinar meu filho
1	sarampo não é uma mazela mortal
1	catapora não é muita coisa
1	infecção é verdadeira e melhor quando natural
1	vacina não é rigorosamente testado
2	O Carro é um veículo que mudou a vida dos humanos
2	Use desodorante
2	Notebook também é uma computador
2	Morre-se. Quem não padece estas dores não as pode avaliar. O golpe foi profundo, e o meu coração é pusilânime; por mais aborrecível que pareça a idéia da morte, pior, muito pior do que ela, é a de viver. Ah! tu não sabes o que isto é? (MACHADO DE ASSIS)
2	José do Patrocínio (José Carlos do Patrocínio), jornalista, orador, poeta e romancista, nasceu em Campos, RJ, em 9 de outubro de 1853, e faleceu no Rio de Janeiro, RJ, em 29 de janeiro de 1905. Compareceu às sessões preparatórias da instalação da Academia Brasileira de Letras e fundou a cadeira nº 21, que tem como patrono Joaquim Serra.
2	André Rebouças (Cachoeira, 13 de janeiro de 1838 — Funchal, 9 de maio de 1898) foi um engenheiro, inventor, abolicionista e monarquista brasileiro. Foi exilado junto com a família imperial no período da proclamação da república em 15 de novembro de 1889. Ele passou seus últimos seis anos trabalhando pelo desenvolvimento de alguns países africanos.(wikipedia)
2	Esse é o título de um dos poemas mais conhecidos de Luiz Gama no qual assume uma identidade negra, baseada em sua origem africana e escrava. (DANTAS, 2013)
2	Hoje foi comprar pão.
2	Quando olho para você não gosta sua cara
2	estava muito boa essa pizza
2	Fogo nos racistas (Yuri Marçal)
2	Eu empurro meus dedos em meus olhos (Slipknot)
2	No mundo do aleatório a ordem é não se preocupar.
2	Led Zeppelin é a melhor banda de todos os tempos
2	Vacinas são boas
2	Quando o homem inventou a vacina?
2	a segunda guerra foi a maior erro da humanidade
2	Tudo essa com esse governo
2	Me movo como educador, porque, primeiro, me movo como gente.(Paulo Freire)
2	It’s alive! (Dr. Frankenstein)